latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.184887,-78.49169,2814.385292053223,2020-05-20T00:00:32.000+0000,2020-05-20T00:00:32.000+0000,8.73,46577.78,69.0,1.166304046344757,2020-05-20,00:00:32,2020-05-20 00:00:32+00:00,3
-0.185005,-78.491658,2817.780799865723,2020-05-20T00:05:33.000+0000,2020-05-20T00:05:33.000+0000,13.61,46591.39,68.0,0.0,2020-05-20,00:05:33,2020-05-20 00:05:33+00:00,3
-0.184981,-78.491721,2816.302528381348,2020-05-20T00:10:33.000+0000,2020-05-20T00:10:33.000+0000,7.5,46598.89,67.0,0.0,2020-05-20,00:10:33,2020-05-20 00:10:33+00:00,3
-0.184981,-78.491721,2822.074989318848,2020-05-20T00:15:33.000+0000,2020-05-20T00:15:33.000+0000,0.0,46598.89,67.0,0.0,2020-05-20,00:15:33,2020-05-20 00:15:33+00:00,3
-0.184981,-78.491721,2820.331336975098,2020-05-20T00:20:34.000+0000,2020-05-20T00:20:34.000+0000,0.0,46598.89,67.0,0.0,2020-05-20,00:20:34,2020-05-20 00:20:34+00:00,3
-0.185473,-78.491842,2807.828163146973,2020-05-20T00:25:34.000+0000,2020-05-20T00:25:34.000+0000,56.4,46655.29,66.0,0.0,2020-05-20,00:25:34,2020-05-20 00:25:34+00:00,3
-0.185522,-78.491882,2808.147010803223,2020-05-20T00:30:34.000+0000,2020-05-20T00:30:34.000+0000,7.04,46662.33,66.0,0.0,2020-05-20,00:30:34,2020-05-20 00:30:34+00:00,3
-0.185522,-78.491882,2808.636268615723,2020-05-20T00:35:35.000+0000,2020-05-20T00:35:35.000+0000,0.0,46662.33,64.0,0.0,2020-05-20,00:35:35,2020-05-20 00:35:35+00:00,3
-0.185356,-78.49189,2806.017127990723,2020-05-20T00:40:35.000+0000,2020-05-20T00:40:35.000+0000,18.5,46680.83,63.0,0.8164127745103836,2020-05-20,00:40:35,2020-05-20 00:40:35+00:00,3
-0.185382,-78.491939,2803.938758850098,2020-05-20T00:45:36.000+0000,2020-05-20T00:45:36.000+0000,6.17,46687.0,62.0,0.0,2020-05-20,00:45:36,2020-05-20 00:45:36+00:00,3
-0.185504,-78.491859,2806.510536193848,2020-05-20T00:50:36.000+0000,2020-05-20T00:50:36.000+0000,16.24,46703.24,61.0,1.263495953655243,2020-05-20,00:50:36,2020-05-20 00:50:36+00:00,3
-0.185328,-78.491745,2807.718299865723,2020-05-20T00:55:37.000+0000,2020-05-20T00:55:37.000+0000,23.34,46726.58,60.00000381469727,0.8358512139034271,2020-05-20,00:55:37,2020-05-20 00:55:37+00:00,3
-0.185449,-78.491933,2808.840370178223,2020-05-20T01:00:38.000+0000,2020-05-20T01:00:38.000+0000,24.89,46751.47,58.99999618530273,0.0,2020-05-20,01:00:38,2020-05-20 01:00:38+00:00,3
-0.185456,-78.491919,2809.232704162598,2020-05-20T01:05:38.000+0000,2020-05-20T01:05:38.000+0000,1.74,46753.21,58.0,0.0,2020-05-20,01:05:38,2020-05-20 01:05:38+00:00,3
-0.185524,-78.491909,2806.237586975098,2020-05-20T01:10:38.000+0000,2020-05-20T01:10:38.000+0000,7.65,46760.86,57.0,0.0,2020-05-20,01:10:38,2020-05-20 01:10:38+00:00,3
-0.185524,-78.491909,2806.526893615723,2020-05-20T01:15:38.000+0000,2020-05-20T01:15:38.000+0000,0.0,46760.86,56.0,0.0,2020-05-20,01:15:38,2020-05-20 01:15:38+00:00,3
-0.185244,-78.491709,2803.651649475098,2020-05-20T01:20:39.000+0000,2020-05-20T01:20:39.000+0000,38.3,46799.16,55.0,5.598259422454834,2020-05-20,01:20:39,2020-05-20 01:20:39+00:00,3
-0.185455,-78.49175,2809.258338928223,2020-05-20T01:25:39.000+0000,2020-05-20T01:25:39.000+0000,23.93,46823.09,54.00000381469727,0.0,2020-05-20,01:25:39,2020-05-20 01:25:39+00:00,3
-0.185389,-78.491724,2808.981483459473,2020-05-20T01:30:40.000+0000,2020-05-20T01:30:40.000+0000,7.9,46830.99,52.99999618530273,1.94384,2020-05-20,01:30:40,2020-05-20 01:30:40+00:00,3
